Subcell_ID,Longitude,Latitude,Area
1,72.45313,22.99479,Sanand Taluka
2,72.45313,22.98438,Sanand Taluka
3,72.44271,22.99479,Sanand Taluka
4,72.45313,23.00521,Sanand Taluka
5,72.44271,23.00521,Sanand Taluka
6,72.46354,23.01563,Sanand Taluka
7,72.45313,23.05729,Ghatlodiya Taluka
8,72.46354,23.03646,Sanand Taluka
9,72.46354,23.04688,Sanand Taluka
10,72.45313,23.06771,Kalol Taluka
11,72.46354,23.06771,Kalol Taluka
12,72.44271,23.08854,Kalol Taluka
13,72.47396,22.91146,Daskroi Taluka
14,72.48438,22.92188,Daskroi Taluka
15,72.48438,22.93229,Daskroi Taluka
16,72.48438,22.95313,Vejalpur Taluka
17,72.49479,22.96354,Vejalpur Taluka
18,72.48438,22.94271,Daskroi Taluka
19,72.47396,22.99479,Vejalpur Taluka
20,72.47396,22.97396,Vejalpur Taluka
21,72.48438,22.99479,Vejalpur Taluka
22,72.49479,23.01563,Vejalpur Taluka
23,72.49479,23.02604,Vejalpur Taluka
24,72.48438,23.00521,Vejalpur Taluka
25,72.49479,23.05729,Ghatlodiya Taluka
26,72.49479,23.04688,Ghatlodiya Taluka
27,72.48438,23.04688,Ghatlodiya Taluka
28,72.48438,23.07813,Ghatlodiya Taluka
29,72.48438,23.06771,Ghatlodiya Taluka
30,72.47396,23.08854,Kalol Taluka
31,72.49479,23.11979,Daskroi Taluka
32,72.47396,23.10938,Kalol Taluka
33,72.48438,23.11979,Kalol Taluka
34,72.50521,22.91146,Daskroi Taluka
35,72.50521,22.92188,Vejalpur Taluka
36,72.51563,22.91146,Daskroi Taluka
37,72.51563,22.95313,Vejalpur Taluka
38,72.51563,22.94271,Vejalpur Taluka
39,72.51563,22.96354,Vejalpur Taluka
40,72.52604,22.98438,Vatva Taluka
41,72.50521,22.99479,Vejalpur Taluka
42,72.51563,22.98438,Vatva Taluka
43,72.50521,23.01563,Vejalpur Taluka
44,72.50521,23.00521,Vejalpur Taluka
45,72.52604,23.02604,Vejalpur Taluka
46,72.52604,23.05729,Ghatlodiya Taluka
47,72.51563,23.05729,Ghatlodiya Taluka
48,72.52604,23.04688,Ghatlodiya Taluka
49,72.52604,23.08854,Ghatlodiya Taluka
50,72.50521,23.08854,Ghatlodiya Taluka
51,72.50521,23.07813,Ghatlodiya Taluka
52,72.52604,23.11979,Ghatlodiya Taluka
53,72.51563,23.11979,Ghatlodiya Taluka
54,72.52604,23.10938,Ghatlodiya Taluka
55,72.50521,23.15104,Daskroi Taluka
56,72.52604,23.13021,Ghatlodiya Taluka
57,72.50521,23.13021,Daskroi Taluka
58,72.55729,22.92188,Vatva Taluka
59,72.54688,22.93229,Vatva Taluka
60,72.55729,22.93229,Vatva Taluka
61,72.54688,22.94271,Vatva Taluka
62,72.55729,22.95313,Vatva Taluka
63,72.55729,22.96354,Vatva Taluka
64,72.55729,22.98438,Vatva Taluka
65,72.54688,22.99479,Vatva Taluka
66,72.55729,22.99479,Vatva Taluka
67,72.54688,23.00521,SabarmatiTaluka
68,72.55729,23.00521,SabarmatiTaluka
69,72.54688,23.02604,SabarmatiTaluka
70,72.53646,23.05729,Ghatlodiya Taluka
71,72.55729,23.04688,SabarmatiTaluka
72,72.54688,23.05729,SabarmatiTaluka
73,72.55729,23.07813,SabarmatiTaluka
74,72.53646,23.08854,Ghatlodiya Taluka
75,72.54688,23.08854,SabarmatiTaluka
76,72.53646,23.09896,Ghatlodiya Taluka
77,72.53646,23.10938,Ghatlodiya Taluka
78,72.54688,23.10938,Ghatlodiya Taluka
79,72.54688,23.15104,Gandhinagar Taluka
80,72.54688,23.13021,Ghatlodiya Taluka
81,72.55729,23.15104,Gandhinagar Taluka
82,72.56771,22.93229,Vatva Taluka
83,72.58854,22.92188,Daskroi Taluka
84,72.56771,22.92188,Vatva Taluka
85,72.56771,22.96354,Vatva Taluka
86,72.58854,22.95313,Maninagar Taluka
87,72.57813,22.96354,Maninagar Taluka
88,72.58854,22.98438,Maninagar Taluka
89,72.56771,22.98438,Maninagar Taluka
90,72.57813,22.98438,Maninagar Taluka
91,72.57813,23.00521,Maninagar Taluka
92,72.58854,23.01563,Unknown Area
93,72.57813,23.02604,Unknown Area
94,72.58854,23.04688,Asarva Taluka
95,72.57813,23.03646,Unknown Area
96,72.56771,23.05729,SabarmatiTaluka
97,72.57813,23.08854,SabarmatiTaluka
98,72.58854,23.08854,SabarmatiTaluka
99,72.58854,23.06771,SabarmatiTaluka
100,72.58854,23.10938,SabarmatiTaluka
101,72.57813,23.09896,SabarmatiTaluka
102,72.56771,23.11979,Gandhinagar Taluka
103,72.56771,23.15104,Gandhinagar Taluka
104,72.56771,23.14063,Gandhinagar Taluka
105,72.58854,23.13021,Gandhinagar Taluka
106,72.61979,22.91146,Daskroi Taluka
107,72.61979,22.93229,Vatva Taluka
108,72.59896,22.91146,Daskroi Taluka
109,72.60938,22.96354,Vatva Taluka
110,72.60938,22.94271,Vatva Taluka
111,72.61979,22.95313,Vatva Taluka
112,72.59896,22.99479,Maninagar Taluka
113,72.61979,22.99479,Maninagar Taluka
114,72.59896,22.98438,Maninagar Taluka
115,72.60938,23.01563,Maninagar Taluka
116,72.60938,23.02604,Maninagar Taluka
117,72.60938,23.00521,Maninagar Taluka
118,72.61979,23.03646,Maninagar Taluka
119,72.59896,23.03646,Maninagar Taluka
120,72.61979,23.05729,Asarva Taluka
121,72.59896,23.06771,Asarva Taluka
122,72.60938,23.07813,Asarva Taluka
123,72.61979,23.07813,Asarva Taluka
124,72.61979,23.10938,Gandhinagar Taluka
125,72.61979,23.11979,Gandhinagar Taluka
126,72.59896,23.10938,SabarmatiTaluka
127,72.59896,23.14063,Gandhinagar Taluka
128,72.60938,23.13021,Gandhinagar Taluka
129,72.60938,23.14063,Gandhinagar Taluka
130,72.63021,22.91146,Daskroi Taluka
131,72.64063,22.91146,Daskroi Taluka
132,72.65104,22.92188,Daskroi Taluka
133,72.65104,22.94271,Vatva Taluka
134,72.63021,22.96354,Vatva Taluka
135,72.64063,22.95313,Vatva Taluka
136,72.65104,22.97396,Vatva Taluka
137,72.64063,22.99479,Maninagar Taluka
138,72.64063,22.98438,Vatva Taluka
139,72.64063,23.00521,Maninagar Taluka
140,72.65104,23.02604,Vatva Taluka
141,72.63021,23.01563,Maninagar Taluka
142,72.63021,23.03646,Maninagar Taluka
143,72.63021,23.05729,Asarva Taluka
144,72.65104,23.04688,Asarva Taluka
145,72.63021,23.06771,Asarva Taluka
146,72.64063,23.06771,Asarva Taluka
147,72.64063,23.08854,Asarva Taluka
148,72.64063,23.11979,Gandhinagar Taluka
149,72.65104,23.11979,Gandhinagar Taluka
150,72.63021,23.10938,Gandhinagar Taluka
151,72.68229,22.93229,Daskroi Taluka
152,72.67188,22.93229,Vatva Taluka
153,72.67188,22.91146,Daskroi Taluka
154,72.68229,22.95313,Daskroi Taluka
155,72.67188,22.96354,Daskroi Taluka
156,72.68229,22.94271,Daskroi Taluka
157,72.67188,22.98438,Vatva Taluka
158,72.67188,22.97396,Daskroi Taluka
159,72.66146,22.97396,Vatva Taluka
160,72.66146,23.02604,Vatva Taluka
161,72.67188,23.00521,Vatva Taluka
162,72.66146,23.01563,Vatva Taluka
163,72.66146,23.03646,Asarva Taluka
164,72.68229,23.05729,Asarva Taluka
165,72.68229,23.03646,Daskroi Taluka
166,72.66146,23.06771,Asarva Taluka
167,72.67188,23.06771,Asarva Taluka
168,72.68229,23.06771,Daskroi Taluka
169,72.68229,23.09896,Daskroi Taluka
170,72.68229,23.11979,Gandhinagar Taluka
171,72.68229,23.10938,Gandhinagar Taluka
172,72.71354,22.97396,Daskroi Taluka
173,72.69271,22.98438,Daskroi Taluka
174,72.70313,22.99479,Daskroi Taluka
175,72.70313,23.02604,Daskroi Taluka
176,72.70313,23.00521,Daskroi Taluka
177,72.69271,23.00521,Vatva Taluka
